year_month_day_hour,HUMI,PRES,TEMP,Iws
2010-1-1 00:00,76,1015.1,13.5,0.8
2010-1-1 01:00,83,1015.2,13,0.5
2010-1-1 02:00,87,1015,12.5,0.6
2010-1-1 03:00,89,1014.9,12,1.4
2010-1-1 04:00,91,1014.6,11.8,0.6
2010-1-1 05:00,91,1014.4,11.7,1.4
2010-1-1 06:00,90,1014.8,11.6,2.5
2010-1-1 07:00,91,1015.3,11.8,3.7
2010-1-1 08:00,89,1015.3,12.1,1.2
2010-1-1 09:00,86,1015.9,12.8,1.2
2010-1-1 10:00,83,1016,13.7,0.9
2010-1-1 11:00,82,1016,13.8,0.6
2010-1-1 12:00,78,1015.3,14.5,0.9
2010-1-1 13:00,75,1013.8,15.3,2
2010-1-1 14:00,74,1012.3,15.4,3.3
2010-1-1 15:00,71,1011.6,16.1,4.6
2010-1-1 16:00,73,1011.8,15.8,5.3
2010-1-1 17:00,77,1012.2,15.5,0.8
2010-1-1 18:00,81,1012.2,15,0
2010-1-1 19:00,84,1012.4,14.8,0.7
2010-1-1 20:00,83,1012.9,14.9,1.6
2010-1-1 21:00,83,1013.4,14.9,0.7
2010-1-1 22:00,84,1013.7,14.9,1.7
2010-1-1 23:00,84,1013.2,14.9,0
2010-1-2 00:00,84,1013.3,14.9,0.5
2010-1-2 01:00,88,1013,14.5,0.7
2010-1-2 02:00,89,1012.6,14.2,1.6
2010-1-2 03:00,92,1011.9,13.9,0
2010-1-2 04:00,92,1011.9,13.7,1.2
2010-1-2 05:00,92,1011.4,13.8,2.4
2010-1-2 06:00,91,1011.3,13.8,0.5
2010-1-2 07:00,92,1011.5,13.9,1
2010-1-2 08:00,93,1011.9,14.1,1.4
2010-1-2 09:00,92,1012.6,14.3,1.8
2010-1-2 10:00,92,1013.3,14.8,0.6
2010-1-2 11:00,92,1013.8,14.6,2.1
2010-1-2 12:00,93,1012.8,14.3,1.2
2010-1-2 13:00,93,1011.7,14.4,0.9
2010-1-2 14:00,93,1011,14.8,0.7
2010-1-2 15:00,93,1010.9,15,1.7
2010-1-2 16:00,93,1010.5,15,1
2010-1-2 17:00,93,1011.6,15,0.8
2010-1-2 18:00,93,1011.8,14.8,1.6
2010-1-2 19:00,93,1012.5,14.8,2.2
2010-1-2 20:00,94,1012.8,14.8,0.8
2010-1-2 21:00,94,1013.2,15,1.5
2010-1-2 22:00,94,1013.5,14.8,0.2
2010-1-2 23:00,94,1014,14.8,1.2
2010-1-3 00:00,94,1014.2,14.5,2.2
2010-1-3 01:00,94,1013.7,14.4,1.1
2010-1-3 02:00,93,1013.3,13.9,1.1
2010-1-3 03:00,93,1013.3,14.1,2.1
2010-1-3 04:00,92,1013.1,14.1,0
2010-1-3 05:00,92,1013,14,0.9
2010-1-3 06:00,92,1013,13.7,0.5
2010-1-3 07:00,93,1013.6,12.9,0.7
2010-1-3 08:00,94,1014.3,13.4,1.7
2010-1-3 09:00,83,1014.7,16.2,0.8
2010-1-3 10:00,75,1015,17.4,0.9
2010-1-3 11:00,71,1014.6,17.7,1.8
2010-1-3 12:00,63,1013.5,19.6,1.8
2010-1-3 13:00,62,1012.2,19.4,0.7
2010-1-3 14:00,62,1011.4,19.4,0.9
2010-1-3 15:00,58,1010.9,19.8,1.4
2010-1-3 16:00,58,1010.8,19.7,0.8
2010-1-3 17:00,65,1011,19.4,1.4
2010-1-3 18:00,73,1011.3,18.4,0.5
2010-1-3 19:00,74,1011.6,17.8,1.3
2010-1-3 20:00,74,1011.9,17.9,0.7
2010-1-3 21:00,76,1012.1,17.7,0.9
2010-1-3 22:00,80,1012.2,17.2,1.7
2010-1-3 23:00,81,1011.9,17.1,3.1
2010-1-4 00:00,82,1011.8,16.9,3.8
2010-1-4 01:00,85,1011.6,16.5,0.7
2010-1-4 02:00,85,1011.1,16.5,1.3
2010-1-4 03:00,88,1010.7,16.2,0.1
2010-1-4 04:00,90,1010.1,15.4,0.6
2010-1-4 05:00,92,1010.3,14.6,0.6
2010-1-4 06:00,93,1010.8,14.1,0
2010-1-4 07:00,94,1011.1,14.5,0.7
2010-1-4 08:00,94,1012.4,14.7,1.4
2010-1-4 09:00,88,1012.5,16.2,1
2010-1-4 10:00,77,1012.7,18.1,1
2010-1-4 11:00,65,1011.9,19.8,1.2
2010-1-4 12:00,59,1010.9,21.4,1.2
2010-1-4 13:00,54,1009.5,21.9,1.3
2010-1-4 14:00,54,1008.4,22.3,3.1
2010-1-4 15:00,55,1007.9,22.2,4.3
2010-1-4 16:00,59,1007.8,21.3,6.2
2010-1-4 17:00,64,1008.2,20.8,7.1
2010-1-4 18:00,69,1008.4,19.9,8.1
2010-1-4 19:00,72,1009.1,19.6,9.6
2010-1-4 20:00,74,1009.5,19.2,10.6
2010-1-4 21:00,73,1009.6,19.1,11.6
2010-1-4 22:00,72,1010,18.9,1
2010-1-4 23:00,84,1010.1,17.6,0.5
2010-1-5 00:00,81,1009.9,18,0.7
2010-1-5 01:00,86,1010.2,17.7,0.8
2010-1-5 02:00,85,1009.9,17.6,0.5
2010-1-5 03:00,85,1010.1,17.5,0.8
2010-1-5 04:00,87,1009.6,17.1,1.5
2010-1-5 05:00,84,1010.2,17,2.1
2010-1-5 06:00,80,1010.1,16.9,2.8
2010-1-5 07:00,80,1010.9,16.8,0.8
2010-1-5 08:00,83,1011.7,16.3,0.8
2010-1-5 09:00,85,1012.2,16.4,2
2010-1-5 10:00,82,1012.7,16.6,4.4
2010-1-5 11:00,79,1012.6,17.3,1.9
2010-1-5 12:00,76,1011.5,18,2.2
2010-1-5 13:00,76,1010.8,17.8,3.1
2010-1-5 14:00,73,1009.9,18.3,2.2
2010-1-5 15:00,69,1009.4,18.1,3
2010-1-5 16:00,64,1009.2,18.2,5.8
2010-1-5 17:00,64,1009.5,18.1,8.6
2010-1-5 18:00,69,1009.7,17.8,9.8
2010-1-5 19:00,72,1010.5,17.3,0.9
2010-1-5 20:00,87,1011.7,16.1,1.8
2010-1-5 21:00,91,1012.2,15.6,0.5
2010-1-5 22:00,92,1012.2,15.5,0.5
2010-1-5 23:00,92,1012.2,15.5,0.5
2010-1-6 00:00,92,1012.4,15.5,0.9
2010-1-6 01:00,92,1012.5,15.6,2.1
2010-1-6 02:00,92,1012.8,15.5,1.6
2010-1-6 03:00,91,1012.8,15.4,2.4
2010-1-6 04:00,91,1012.5,15.3,4.1
2010-1-6 05:00,90,1012.6,15.2,4.8
2010-1-6 06:00,88,1012.9,15,5.6
2010-1-6 07:00,90,1013.9,13.9,2
2010-1-6 08:00,91,1015.1,12.1,4.5
2010-1-6 09:00,91,1016.1,11.4,7.2
2010-1-6 10:00,91,1016.7,11.4,9.9
2010-1-6 11:00,85,1016.9,11.5,2.2
2010-1-6 12:00,81,1016.2,11.7,3.2
2010-1-6 13:00,78,1015.9,11.4,6
2010-1-6 14:00,77,1015.7,11.1,9.3
2010-1-6 15:00,78,1015.6,10.9,11.7
2010-1-6 16:00,77,1015.6,10.8,13.8
2010-1-6 17:00,77,1016.1,10.6,15.5
2010-1-6 18:00,75,1016.5,10.3,2.7
2010-1-6 19:00,75,1017.4,10.1,1.4
2010-1-6 20:00,74,1017.7,9.9,3.8
2010-1-6 21:00,74,1018.1,9.7,5.3
2010-1-6 22:00,74,1018.3,9.5,1.4
2010-1-6 23:00,74,1018.3,9.3,3.2
2010-1-7 00:00,74,1018.4,9,5.9
2010-1-7 01:00,76,1018.4,8.8,6.7
2010-1-7 02:00,74,1018.7,8.8,1
2010-1-7 03:00,72,1018.6,8.7,2.2
2010-1-7 04:00,73,1018.4,8.5,4.9
2010-1-7 05:00,75,1018.6,8.3,5.9
2010-1-7 06:00,76,1018.6,8.3,1.9
2010-1-7 07:00,80,1019.4,8,3.2
2010-1-7 08:00,82,1019.7,7.8,2.2
2010-1-7 09:00,84,1020.6,7.7,1.6
2010-1-7 10:00,83,1021,8.1,0.7
2010-1-7 11:00,88,1020.7,7.8,1.8
2010-1-7 12:00,86,1019.8,8.2,1.4
2010-1-7 13:00,84,1018.7,8.5,2
2010-1-7 14:00,86,1017.9,8.4,3.9
2010-1-7 15:00,87,1017.3,8.5,0.9
2010-1-7 16:00,90,1017.3,8.4,1.3
2010-1-7 17:00,91,1017.5,8.3,3.1
2010-1-7 18:00,91,1017.6,8.3,2.3
2010-1-7 19:00,90,1017.9,8.3,1.1
2010-1-7 20:00,89,1018.9,8.4,2.5
2010-1-7 21:00,87,1019.6,8.4,1.3
2010-1-7 22:00,88,1019.7,8.2,3.4
2010-1-7 23:00,88,1019.9,8.2,4.9
2010-1-8 00:00,90,1019.5,8.1,6.9
2010-1-8 01:00,90,1019.6,8,1.3
2010-1-8 02:00,91,1019.1,7.9,2.5
2010-1-8 03:00,89,1018.6,7.7,5.2
2010-1-8 04:00,88,1018.2,7.7,6.4
2010-1-8 05:00,88,1018,7.9,7.6
2010-1-8 06:00,88,1018,7.9,8.6
2010-1-8 07:00,87,1018.8,7.8,9.8
2010-1-8 08:00,86,1019.5,7.9,10.9
2010-1-8 09:00,83,1020,8.6,12.1
2010-1-8 10:00,74,1020.5,9.4,13.7
2010-1-8 11:00,73,1020.2,9.9,15.6
2010-1-8 12:00,70,1019.3,10.2,17.7
2010-1-8 13:00,68,1018,10.9,20.3
2010-1-8 14:00,68,1016.6,11,21.3
2010-1-8 15:00,67,1015.7,11.4,1.8
2010-1-8 16:00,66,1015.4,11.7,1.5
2010-1-8 17:00,67,1015.4,11.5,1.4
2010-1-8 18:00,70,1015.6,10.9,1.3
2010-1-8 19:00,71,1016.2,10.3,2.5
2010-1-8 20:00,72,1016.9,10,4.6
2010-1-8 21:00,73,1017,9.8,6.6
2010-1-8 22:00,74,1017.2,9.7,7.8
2010-1-8 23:00,75,1017.2,9.7,8.7
2010-1-9 00:00,76,1017,9.7,9.8
2010-1-9 01:00,77,1016.8,9.8,1.2
2010-1-9 02:00,78,1016.4,9.6,2.3
2010-1-9 03:00,82,1016.3,9.4,3.6
2010-1-9 04:00,85,1016.1,9.2,0.8
2010-1-9 05:00,89,1016,8.6,1.1
2010-1-9 06:00,89,1015.9,8.8,0.4
2010-1-9 07:00,90,1016.6,8.8,1.4
2010-1-9 08:00,91,1016.7,8.8,0.8
2010-1-9 09:00,89,1017.5,9.5,1.1
2010-1-9 10:00,86,1018.2,10,2.6
2010-1-9 11:00,83,1017.6,10.9,1.4
2010-1-9 12:00,77,1016.5,12.6,3
2010-1-9 13:00,72,1015.1,13.6,1
2010-1-9 14:00,68,1013.6,14.9,1.8
2010-1-9 15:00,63,1012.6,16.1,3.4
2010-1-9 16:00,63,1012,16.1,5.1
2010-1-9 17:00,67,1012.2,15.9,5.8
2010-1-9 18:00,75,1012.2,14.9,6.5
2010-1-9 19:00,79,1012.7,14,7.2
2010-1-9 20:00,83,1013.2,13.7,0.4
2010-1-9 21:00,82,1013.6,13.6,0.8
2010-1-9 22:00,84,1014.4,13.5,0.9
2010-1-9 23:00,82,1015,13.3,1
2010-1-10 00:00,82,1014.7,12.9,2.2
2010-1-10 01:00,83,1014.8,12.7,0.7
2010-1-10 02:00,86,1014.4,12.6,1.5
2010-1-10 03:00,85,1013.9,12.9,0.6
2010-1-10 04:00,87,1013,12.9,1.7
2010-1-10 05:00,86,1013.2,13.1,0.6
2010-1-10 06:00,86,1013,13.1,2
2010-1-10 07:00,91,1013.9,12.8,1.1
2010-1-10 08:00,92,1014.4,12.9,0.6
2010-1-10 09:00,92,1014.5,13.4,1.1
2010-1-10 10:00,90,1015,13.8,1.9
2010-1-10 11:00,82,1014.7,15.4,0.8
2010-1-10 12:00,77,1014.1,15.8,0.9
2010-1-10 13:00,74,1012.4,16.7,2.7
2010-1-10 14:00,73,1011.6,17.3,0.6
2010-1-10 15:00,80,1010.8,16.3,1.8
2010-1-10 16:00,80,1010.9,16.1,3.1
2010-1-10 17:00,80,1011,15.4,5.4
2010-1-10 18:00,82,1011.6,14.9,7.2
2010-1-10 19:00,86,1011.9,14.2,8.8
2010-1-10 20:00,90,1012.5,13.8,10.5
2010-1-10 21:00,89,1012.9,13.8,11.8
2010-1-10 22:00,90,1013.3,13.8,12.9
2010-1-10 23:00,91,1013.5,13.3,14.7
2010-1-11 00:00,92,1013.6,13.1,15.9
2010-1-11 01:00,92,1013.8,12.4,17.7
2010-1-11 02:00,92,1013.8,11.7,1.2
2010-1-11 03:00,92,1013.8,11.5,1.9
2010-1-11 04:00,92,1014.3,10.8,4.3
2010-1-11 05:00,91,1013.6,11.6,5.6
2010-1-11 06:00,90,1014.1,11.2,2
2010-1-11 07:00,89,1015,11.1,2
2010-1-11 08:00,91,1016.1,10.4,3.8
2010-1-11 09:00,92,1017.1,9.9,6.1
2010-1-11 10:00,92,1017.8,9.8,1.6
2010-1-11 11:00,92,1017.7,10.2,1.5
2010-1-11 12:00,88,1016.8,10.8,3.4
2010-1-11 13:00,84,1016,11.4,5.3
2010-1-11 14:00,81,1015.7,11.3,6.7
2010-1-11 15:00,82,1015.7,10.9,8.5
2010-1-11 16:00,81,1015.5,10.9,11
2010-1-11 17:00,79,1015.6,11.1,2.2
2010-1-11 18:00,77,1016.2,11,2.8
2010-1-11 19:00,74,1016.7,10.9,4.8
2010-1-11 20:00,71,1017.2,10.7,3.2
2010-1-11 21:00,71,1018.2,10.6,4.7
2010-1-11 22:00,70,1018.6,10.3,2.2
2010-1-11 23:00,71,1019.3,10.1,4.2
2010-1-12 00:00,70,1019.6,9.8,2
2010-1-12 01:00,71,1019.6,9,4
2010-1-12 02:00,70,1019.7,8.5,8
2010-1-12 03:00,70,1019.5,8.5,9.3
2010-1-12 04:00,66,1019.5,8.5,11.6
2010-1-12 05:00,65,1020.2,8.1,16.1
2010-1-12 06:00,65,1020.8,7.8,19.6
2010-1-12 07:00,65,1021.3,7.5,2.9
2010-1-12 08:00,62,1022.3,7.8,2.6
2010-1-12 09:00,56,1022.9,9.1,6
2010-1-12 10:00,49,1023.6,10.4,8.9
2010-1-12 11:00,47,1023.4,10.4,12
2010-1-12 12:00,42,1022.3,11.6,14.8
2010-1-12 13:00,38,1021.1,12.1,18.9
2010-1-12 14:00,38,1019.9,13.3,21.2
2010-1-12 15:00,40,1018.9,13.6,1.7
2010-1-12 16:00,41,1018.6,13.5,3.4
2010-1-12 17:00,41,1018.7,12.7,4.8
2010-1-12 18:00,46,1019.2,11.4,7
2010-1-12 19:00,51,1019.7,10.5,1.6
2010-1-12 20:00,58,1020,9.7,3.8
2010-1-12 21:00,53,1020.5,9.7,2.4
2010-1-12 22:00,52,1020.9,9.6,2.5
2010-1-12 23:00,49,1021.7,9.4,3.8
2010-1-13 00:00,51,1022.3,8.5,5.3
2010-1-13 01:00,47,1022.5,8.1,2
2010-1-13 02:00,48,1022.4,8.1,1.4
2010-1-13 03:00,49,1022.5,7.3,2.6
2010-1-13 04:00,49,1022.7,6.7,3.6
2010-1-13 05:00,59,1023,5.3,0.9
2010-1-13 06:00,50,1023.3,6.2,2.3
2010-1-13 07:00,52,1023.8,6.1,3.6
2010-1-13 08:00,43,1024.4,7.5,5.9
2010-1-13 09:00,42,1025.4,8.5,1.4
2010-1-13 10:00,40,1025.8,9.5,2.5
2010-1-13 11:00,32,1025.4,11,4.7
2010-1-13 12:00,32,1024.6,11.7,6.3
2010-1-13 13:00,31,1023.4,12.3,7.4
2010-1-13 14:00,31,1022.2,14.4,8.6
2010-1-13 15:00,26,1021.5,14.7,10.5
2010-1-13 16:00,27,1021.7,14.3,13.1
2010-1-13 17:00,30,1022.3,13.8,14.8
